address_id,name,lat,lon,building_matched,structure_hint,hint_confidence,hint_signals,class_source,footprint_area_m2,elongation_ratio,perimeter_complexity,floor_count_est,footprint_source,footprint_match_distance_m
addr_973,pl00001528821517,46.81125277804679,-100.8096305555333,True,MDU,0.75,['area_or_shape'],RULE,454.55,1.166,1.122,1.0,ms,3.41
addr_974,pl00001528821516,46.8114305557441,-100.8100499996007,True,MDU,0.75,['area_or_shape'],RULE,365.99,1.133,1.155,1.0,ms,4.87
addr_975,pl00001528821505,46.81297777770822,-100.806672221843,True,MDU,0.75,['area_or_shape'],RULE,574.57,1.853,1.0,1.0,ms,5.41
addr_976,pl00001528821416,46.81281111135637,-100.8080388890719,False,UNRESOLVED,0.0,['no_match'],NONE,,,,,,
addr_977,pl00001528821415,46.81280833310814,-100.8084083329106,False,UNRESOLVED,0.0,['no_match'],NONE,,,,,,
addr_978,pl00001528821414,46.81281111135637,-100.808877778105,True,MDU,0.75,['area_or_shape'],RULE,437.14,1.269,1.081,1.0,ms,22.44
addr_979,pl00001528824575,46.81330000027533,-100.8064750003157,True,MDU,0.75,['area_or_shape'],RULE,452.05,1.385,1.078,1.0,ms,29.56
addr_980,pl00001528821413,46.81281388898972,-100.8093861113681,True,MDU,0.75,['area_or_shape'],RULE,437.61,1.04,1.054,1.0,ms,19.88
addr_981,pl00001528821412,46.81282777776889,-100.8102416668447,True,SFU,0.8,['ml'],ML,166.51,1.09,1.0,1.0,ms,22.88
addr_982,pl00001528824379,46.81325833306324,-100.8084138889906,False,UNRESOLVED,0.0,['no_match'],NONE,,,,,,
addr_983,pl00001528824380,46.81366388907152,-100.8084472218775,True,MDU,0.75,['area_or_shape'],RULE,387.87,1.111,1.068,1.0,ms,29.76
addr_984,pl00001528824381,46.8139027778232,-100.8083888888762,True,MDU,0.75,['area_or_shape'],RULE,464.0,1.046,1.056,1.0,ms,22.27
addr_985,pl00001528824368,46.81377499990769,-100.810375000189,True,SFU,0.8,['ml'],ML,166.07,1.103,1.0,1.0,ms,15.31
addr_986,pl00001528824369,46.81391944451213,-100.8099888890086,True,SFU,0.8,['ml'],ML,36.02,1.363,1.0,1.0,ms,22.47
addr_987,pl00001528824370,46.81405833359104,-100.8096499995676,True,MDU,0.75,['area_or_shape'],RULE,309.88,1.015,1.041,1.0,ms,17.98
addr_988,pl00001528824371,46.81429444426342,-100.8093694440263,True,MDU,0.75,['area_or_shape'],RULE,350.29,2.167,1.0,1.0,ms,10.84
addr_989,pl00001528824372,46.8145138886291,-100.8091166670885,True,MDU,0.75,['area_or_shape'],RULE,399.16,1.153,1.0,1.0,ms,13.82
addr_990,pl00001528824373,46.81476944433388,-100.8088666668433,True,MDU,0.75,['area_or_shape'],RULE,421.03,1.047,1.063,1.0,ms,16.85
addr_991,pl00001528824374,46.81500277805259,-100.8090999997467,True,MDU,0.75,['area_or_shape'],RULE,407.35,1.37,1.0,1.0,ms,35.21
addr_992,pl00001528824375,46.81519444443214,-100.8092861109106,True,MDU,0.75,['area_or_shape'],RULE,611.62,1.022,1.126,1.0,ms,26.05
addr_993,pl00001528824397,46.81506388899491,-100.8108416668943,True,SFU,0.8,['ml'],ML,51.84,1.46,1.0,1.0,ms,24.48
addr_994,pl00001528824376,46.81547499990365,-100.8094166666642,True,MDU,0.75,['area_or_shape'],RULE,314.57,1.165,1.0,1.0,ms,27.57
addr_995,pl00001528824398,46.81544166686996,-100.8108249995525,True,MDU,0.75,['area_or_shape'],RULE,638.72,1.497,1.057,1.0,ms,20.56
addr_996,pl00001528824377,46.81580277783529,-100.8093722225155,True,MDU,0.75,['area_or_shape'],RULE,402.17,1.375,1.053,1.0,ms,33.37
addr_997,pl00001528824399,46.81573055534439,-100.8108333332234,True,MDU,0.75,['area_or_shape'],RULE,475.9,1.12,1.123,1.0,ms,28.93
addr_998,pl00001528821509,46.81280555547452,-100.8131277777828,True,MDU,0.75,['area_or_shape'],RULE,375.58,1.015,1.104,1.0,ms,32.37
addr_999,pl00001528824383,46.81387222200838,-100.8132472222745,True,MDU,0.75,['area_or_shape'],RULE,430.63,1.375,1.047,1.0,ms,17.79
addr_1000,pl00001528821508,46.81280555547452,-100.8126722223392,True,SFU,0.8,['ml'],ML,201.18,1.38,1.0,1.0,ms,25.14
addr_1001,pl00001528824382,46.81377222232399,-100.8127166664879,True,MDU,0.75,['area_or_shape'],RULE,368.14,1.5,1.034,1.0,ms,39.36
addr_1002,pl00001528821507,46.81280555547452,-100.8124527773901,True,MDU,0.75,['area_or_shape'],RULE,360.44,1.047,1.062,1.0,ms,11.65
addr_1003,pl00001528821512,46.81229722213366,-100.8120722222896,True,MDU,0.75,['area_or_shape'],RULE,503.93,1.063,1.052,1.0,ms,11.93
addr_1004,pl00001528821506,46.81280555547452,-100.8120277781409,True,MDU,0.75,['area_or_shape'],RULE,360.44,1.047,1.062,1.0,ms,15.02
addr_1005,pl00001528824364,46.81376666654143,-100.8121916667814,True,MDU,0.75,['area_or_shape'],RULE,349.69,1.526,1.0,1.0,ms,4.61
addr_1006,pl00001528821511,46.8121166665579,-100.8116638885856,True,MDU,0.75,['area_or_shape'],RULE,533.28,1.395,1.118,1.0,ms,5.31
addr_1007,pl00001528821410,46.81281388898972,-100.8117833330774,True,MDU,0.75,['area_or_shape'],RULE,384.93,1.273,1.043,1.0,ms,22.02
addr_1008,pl00001528824365,46.81376666654143,-100.8118555558296,True,MDU,0.75,['area_or_shape'],RULE,468.16,1.055,1.098,1.0,ms,17.21
addr_1009,pl00001528821513,46.81195833302964,-100.8112694446326,True,MDU,0.75,['area_or_shape'],RULE,496.92,1.004,1.055,1.0,ms,3.98
addr_1010,pl00001528824395,46.81397777788294,-100.8114111107495,True,MDU,0.75,['area_or_shape'],RULE,750.72,1.113,1.092,1.0,ms,13.06
addr_1011,pl00001528824394,46.81418055570834,-100.8114305556822,True,MDU,0.75,['area_or_shape'],RULE,571.73,1.066,1.106,1.0,ms,5.34
addr_1012,pl00001528824393,46.81442499972436,-100.8114361108639,True,MDU,0.75,['area_or_shape'],RULE,571.73,1.066,1.106,1.0,ms,11.38
addr_1013,pl00001528821514,46.81177222217201,-100.8108694445995,True,MDU,0.75,['area_or_shape'],RULE,489.97,1.064,1.186,1.0,ms,4.67
addr_1014,pl00001528824366,46.8137694447402,-100.8112388893365,True,SFU,0.8,['ml'],ML,98.1,1.07,1.0,1.0,ms,25.32
addr_1015,pl00001528821411,46.81283055540136,-100.8108833334521,True,MDU,0.75,['area_or_shape'],RULE,387.63,1.191,1.06,1.0,ms,22.69
addr_1016,pl00001528824396,46.81467777769993,-100.8111944442895,True,MDU,0.75,['area_or_shape'],RULE,408.0,1.331,1.0,1.0,ms,33.57
