address_id,name,lat,lon,building_matched,structure_hint,hint_confidence,class_source,matched_radius_m
addr_085,1008,46.81757699935996,-100.8057050003867,False,UNRESOLVED,0.0,NONE,
addr_086,1019,46.81609699921503,-100.805098999591,False,UNRESOLVED,0.0,NONE,
addr_087,804,46.81286499913845,-100.8065389998897,False,UNRESOLVED,0.0,NONE,
addr_088,916,46.81471999895032,-100.8058779997408,False,UNRESOLVED,0.0,NONE,
addr_089,929,46.81526699900117,-100.8053670002779,False,UNRESOLVED,0.0,NONE,
addr_090,1001,46.81545699904753,-100.8052840004372,False,UNRESOLVED,0.0,NONE,
addr_091,1039,46.81722399892411,-100.80725899959,False,UNRESOLVED,0.0,NONE,
addr_092,1026,46.81756199913085,-100.8066180004308,False,UNRESOLVED,0.0,NONE,
addr_093,1235,46.81891999930767,-100.8090589997389,False,UNRESOLVED,0.0,NONE,
addr_094,1109,46.8195159993185,-100.8071599998558,False,UNRESOLVED,0.0,NONE,
addr_095,929,46.81539199894542,-100.8039699996369,False,UNRESOLVED,0.0,NONE,
addr_096,1136,46.81354499914058,-100.8107149999477,False,UNRESOLVED,0.0,NONE,
addr_097,1252,46.81975299887727,-100.8094200003122,False,UNRESOLVED,0.0,NONE,
addr_098,902,46.81393299918037,-100.8058910001595,False,UNRESOLVED,0.0,NONE,
addr_099,917,46.81468899912023,-100.8052390002314,False,UNRESOLVED,0.0,NONE,
addr_100,1006,46.81560099896549,-100.8118670003663,False,UNRESOLVED,0.0,NONE,
addr_101,813,46.81277699895828,-100.8058069995956,False,UNRESOLVED,0.0,NONE,
addr_102,908,46.81477399916689,-100.803463000372,False,UNRESOLVED,0.0,NONE,
addr_103,911,46.81429299892564,-100.8051530000177,False,UNRESOLVED,0.0,NONE,
addr_104,1027,46.8162119988749,-100.8141710003054,False,UNRESOLVED,0.0,NONE,
addr_105,925,46.81507699889823,-100.8052729996683,False,UNRESOLVED,0.0,NONE,
addr_106,1105,46.81624199885265,-100.8137970002116,False,UNRESOLVED,0.0,NONE,
addr_107,924,46.81485599900498,-100.804480999998,False,UNRESOLVED,0.0,NONE,
addr_108,1231,46.81913399927549,-100.810515999756,False,UNRESOLVED,0.0,NONE,
addr_109,1215,46.81818899911526,-100.8105040000605,False,UNRESOLVED,0.0,NONE,
addr_110,1010,46.81547199924908,-100.8067399997312,False,UNRESOLVED,0.0,NONE,
addr_111,934,46.81532299911049,-100.8062590004056,False,UNRESOLVED,0.0,NONE,
addr_112,832,46.8137429992825,-100.8059100004261,False,UNRESOLVED,0.0,NONE,
addr_113,913,46.81423899884085,-100.8065630001792,False,UNRESOLVED,0.0,NONE,
addr_114,822,46.81336299931726,-100.8060329995514,False,UNRESOLVED,0.0,NONE,
addr_115,1218,46.81748299904364,-100.8122220001936,False,UNRESOLVED,0.0,NONE,
addr_116,910,46.81435099929786,-100.8058869999616,False,UNRESOLVED,0.0,NONE,
addr_117,1202,46.81705899877893,-100.8112029998443,False,UNRESOLVED,0.0,NONE,
addr_118,1120,46.81764599876168,-100.8053890000192,False,UNRESOLVED,0.0,NONE,
addr_119,1205,46.81506399903817,-100.8124380001036,False,UNRESOLVED,0.0,NONE,
addr_120,1009,46.81788999916991,-100.8061139997423,False,UNRESOLVED,0.0,NONE,
addr_121,1216,46.81567399930174,-100.8131329996895,False,UNRESOLVED,0.0,NONE,
addr_122,1000,46.81486399899752,-100.8150009996104,False,UNRESOLVED,0.0,NONE,
addr_123,1108,46.81687899893731,-100.813637000378,False,UNRESOLVED,0.0,NONE,
addr_124,1038,46.8174849987905,-100.8071880003432,False,UNRESOLVED,0.0,NONE,
addr_125,817,46.81288099909985,-100.8055880002108,False,UNRESOLVED,0.0,NONE,
addr_126,1023,46.81703899930444,-100.8064190002391,False,UNRESOLVED,0.0,NONE,
addr_127,920,46.81467999886878,-100.8042850001794,False,UNRESOLVED,0.0,NONE,
addr_128,1200,46.81344999889753,-100.8122409995618,False,UNRESOLVED,0.0,NONE,
addr_129,1111,46.8172399988181,-100.8141019998101,False,UNRESOLVED,0.0,NONE,
addr_130,1209,46.81793199905287,-100.808175999832,False,UNRESOLVED,0.0,NONE,
addr_131,1027,46.81705899877893,-100.8067249996626,False,UNRESOLVED,0.0,NONE,
